OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus,ComplianceIssue
43,2018,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,0022000005,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,GREATER DUWAMISH,1,1992,3,0,2026324,2026324,0,Mixed Use Property,,293.00,286.10,581511936,567845632,453.50,446.30,Office,686180,Laboratory,639946,Non-Refrigerated Warehouse,480625,48479000,165410348,4024353,402435300,0,21814.9,10.8,Compliant,No Issue
50,2018,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,0369000400,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,7,1990,2,0,54986,54986,0,K-12 School,73,32.20,30.70,1771207,1688685,73.00,70.10,K-12 School,54986,NA,,NA,,348618,1189486,4992,499199,0,29.7,0.5,Compliant,No Issue
51,2018,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,0425049022,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,0,175565,175565,0,K-12 School,93,34.70,32.30,6230373,5797068,50.70,47.90,K-12 School,179513,NA,,NA,,420665,1435310,43618,4361758,0,235.5,1.3,Compliant,No Issue
52,2018,SALMON BAY CENTER 5305 & 5309,NonResidential,0467000429,5305 SHILSHOLE AVE NW,SEATTLE,WA,98107,47.66587,-122.38476,BALLARD,1,1961,2,0,94900,94900,0,Office,10,132.30,129.20,6563108,6408345,290.70,288.40,Office,28055,Non-Refrigerated Warehouse,21562,NA,,1269742,4332360,20760,2075985,0,121.8,1.3,Compliant,No Issue
53,2018,EL CENTRO DE LA RAZA,NonResidential,0570000340,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,GREATER DUWAMISH,2,1900,2,0,52554,52554,0,Office,77,48.60,46.40,2860714,2729815,77.60,74.90,Office,51029,Other - Education,7849,NA,,258171,880881,18489,1848934,0,100.5,1.9,Compliant,No Issue
54,2018,BLANCHET HIGH SCHOOL,NonResidential,0625049002,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,1,1954,3,0,175015,175015,0,K-12 School,69,57.50,54.60,10059544,9547488,90.20,86.60,K-12 School,175015,NA,,NA,,860602,2936376,66111,6611112,0,359,2.1,Compliant,No Issue
55,2018,VINE ST MINI STORAGE,NonResidential,0653000225,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,DOWNTOWN,7,1911,3,0,70586,70586,0,Self-Storage Facility,,31.10,30.40,2193202,2142204,71.30,70.60,Self-Storage Facility,38439,Vocational School,28197,Office,3859,456319,1556961,5852,585243,0,35.2,0.5,Compliant,No Issue
56,2018,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,1,1969,24,0,332210,126240,205970,Hotel,95,44.50,44.30,15512941,15431908,92.80,92.50,Hotel,348630,NA,,NA,,2689945,9178092,62538,6253815,0,356.6,2.8,Compliant,No Issue
57,2018,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,7,1973,5,0,168115,168115,0,Office,78,53.50,53.80,9066856,9114712,149.70,150.50,Office,103362,Retail Store,65676,Data Center,493,2671369,9114711,0,0,0,24.3,0.1,Compliant,No Issue
58,2018,CENTURY SQUARE RETAIL,NonResidential,1975700365,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,DOWNTOWN,7,1920,2,0,57428,57428,0,Other - Mall,,18.20,18.20,1043196,1043196,39.40,39.40,Other - Mall,51747,"Personal Services (Health/Beauty, Dry Cleaning, etc)",5681,NA,,195653,667569,3756,375626,0,21.7,0.4,Compliant,No Issue
59,2018,GIBRALTAR TOWER,NonResidential,1975700380,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,DOWNTOWN,1,1910,8,0,59400,59400,0,Office,,47.30,47.30,2599818,2599818,132.40,132.40,Office,48366,Retail Store,6619,NA,,761963,2599818,0,0,0,6.9,0.1,Compliant,No Issue
60,2018,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1975700525,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,DOWNTOWN,7,1926,2,0,52549,52549,0,Mixed Use Property,,305.10,298.30,16002685,15648427,471.40,465.60,Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,1338469,4566856,110816,11081570,0,600.7,11.4,Compliant,No Issue
62,2018,ROOSEVELT HOTEL (HOTEL THEODORE),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,1,1930,20,0,98634,88591,10043,Hotel,51,84.40,83.80,7651354,7591841,184.20,182.30,Hotel,83591,Parking,10043,Restaurant,7057,1379876,4708137,8080,807954,2075751,165.8,1.9,Compliant,No Issue
63,2018,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,1,1982,34,2,1083197,926614,156583,Hotel,65,88.60,87.90,88123088,87435872,176.90,176.20,Hotel,994212,Parking,117668,Swimming Pool,0,13669650,46640846,292765,29276491,11518554,2291.7,2.5,Compliant,No Issue
65,2018,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,7,1985,7,0,71150,71150,0,Hotel,98,88.90,88.60,5105488,5088944,190.10,189.80,Hotel,41340,Parking,13730,Retail Store,9604,929902,3172825,19161,1916119,0,110.2,1.5,Compliant,No Issue
66,2018,MOORE HOTEL & THEATRE,NonResidential,1977201035,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,DOWNTOWN,7,1908,7,0,122810,122810,0,Hotel,99,51.90,49.40,6373928,6070163,73.20,70.60,Hotel,96360,Other - Entertainment/Public Assembly,26450,NA,,383784,1309471,47607,4760692,0,256.3,2.1,Compliant,No Issue
67,2018,QUALITY INN & SUITES - SEATTLE,NonResidential,1991200730,618 JOHN ST,SEATTLE,WA,98109,47.61986,-122.34413,LAKE UNION,7,1959,5,0,113173,70627,42546,Hotel,92,68.30,67.90,4826396,4792422,135.70,134.30,Hotel,70627,Parking,42546,NA,,746117,2545752,22467,2246670,0,126.1,1.8,Compliant,No Issue
68,2018,HOLIDAY INN - SEATTLE,NonResidential,1991200935,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,0,150453,115718,34735,Hotel,88,66.40,66.00,7682808,7635998,124.30,124.20,Hotel,115718,Parking,34735,NA,,1064094,3630689,40053,4005307,0,222.4,1.9,Compliant,No Issue
69,2018,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,NonResidential,1991200940,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,1,1997,6,0,116300,88100,28200,Hotel,85,60.60,60.60,5358454,5358454,123.40,123.40,Hotel,88490,NA,,NA,,886436,3024518,23339,2333936,0,132,1.5,Compliant,No Issue
70,2018,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,1992200235,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1,1998,6,0,155602,118858,36744,Hotel,95,45.70,45.60,7105433,7099446,92.60,92.40,Hotel,155602,NA,,NA,,1160748,3960472,31390,3138974,0,177.3,1.5,Compliant,No Issue
73,2018,SEATTLE HEBREW ACADEMY,NonResidential,2125049015,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,EAST,3,1911,3,0,56072,56072,0,K-12 School,57,63.60,59.90,3563641,3358370,84.10,79.80,K-12 School,56072,NA,,NA,,159101,542853,28155,2815516,0,151,2.7,Compliant,No Issue
77,2018,COMFORT SUITES SEATTLE CENTER,NonResidential,2249000170,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,7,1999,4,0,122942,78051,44891,Hotel,95,65.30,65.20,5099893,5089622,122.50,122.10,Hotel,78051,Parking,44891,NA,,700906,2391491,26981,2698131,0,149.7,1.9,Compliant,No Issue
82,2018,WA DEPT OF SOCIAL & HEALTH SERVICES,NonResidential,2254501944,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,3,1962,2,0,54984,54984,0,Office,62,66.10,63.80,3633946,3510100,128.50,126.20,Office,54984,NA,,NA,,544540,1857972,16521,1652128,0,92.7,1.7,Compliant,No Issue
84,2018,PROVIDENCE MT ST VINCENT,NonResidential,2324039001,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,0,371257,296313,74944,Senior Care Community,57,149.10,144.60,44165828,42848800,224.90,220.20,Senior Care Community,296313,Parking,0,NA,,3393000,11576916,312719,31271884,0,1691.8,5.7,Compliant,No Issue
85,2018,FOSS HOME AND VILLAGE,NonResidential,2426039059,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,5,1970,2,0,93397,93397,0,Senior Care Community,1,173.30,172.40,16182456,16100519,284.00,282.70,Senior Care Community,93397,NA,,NA,,1590832,5427919,106726,10672602,0,581.3,6.2,Compliant,No Issue
86,2018,SCCA - ALLIANCE HOUSE,NonResidential,2467400430,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,7,2008,6,0,84103,63371,20732,Hotel,76,66.10,65.70,4186683,4162604,158.70,158.30,Hotel,63371,Parking,20732,NA,,948464,3236160,9264,926443,0,57.8,0.9,Compliant,No Issue
87,2018,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2518400005,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,1948,2,0,53352,53352,0,K-12 School,100,7.80,7.80,704390,704390,21.70,21.70,K-12 School,90763,NA,,NA,,206445,704390,0,0,0,1.9,0,Account Requires Verification,Low Outlier - EUI
89,2018,POLYCLINIC MEDICAL OFFICE,NonResidential,1978201270,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,1,1965,3,2,241014,119305,121709,Medical Office,63,93.70,91.00,16768501,16293902,185.70,182.90,Medical Office,179014,Parking,150475,NA,,2618000,8932616,73613,7361286,0,414.8,3.5,Compliant,No Issue
95,2018,SORRENTO HOTEL,NonResidential,1979200270,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,EAST,3,1908,7,0,76631,76631,0,Hotel,73,92.20,91.50,7062656,7008332,152.70,152.60,Hotel,76631,NA,,NA,,726646,2479315,45290,4529017,0,247.2,3.2,Compliant,No Issue
96,2018,PUGET SOUND BLOOD CENTER,NonResidential,1979200290,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,EAST,3,1983,6,0,99780,90439,9341,Mixed Use Property,,191.00,189.60,14446802,14342250,427.30,426.90,Medical Office,40654,Parking,20868,Office,17020,2760829,9419949,0,0,4922300,286.8,3.2,Compliant,No Issue
98,2018,400 WESTLAKE,NonResidential,1983200230,400 WESTLAKE AVE N,SEATTLE,WA,98109,47.62237,-122.33805,LAKE UNION,1,1929,2,1,58320,58320,0,Retail Store,,8.10,7.70,505431,480558,12.60,12.20,Retail Store,62280,NA,,NA,,42665,145574,3350,334984,0,18.2,0.3,Compliant,No Issue
100,2018,CITY PLACE III (Obidos/Rufus),NonResidential,1983200325,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,1,2010,5,2,317687,166961,150726,Office,90,54.20,53.90,15574155,15489316,134.30,134.10,Office,247882,Parking,150726,Retail Store,26464,3728756,12722515,27668,2766801,0,180.9,1.1,Compliant,No Issue
102,2018,MARRIOTT RESIDENCE INN,NonResidential,1984200065,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,1,1990,7,0,282863,238097,44766,Hotel,73,76.00,74.70,18145262,17842512,146.10,144.80,Hotel,238793,Parking,51537,NA,,2652970,9051934,87906,8790580,0,491,2.1,Compliant,No Issue
103,2018,KEY ARENA - SEATTLE CENTER,Nonresidential COS,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,0,389000,389000,0,Other,,47.70,48.00,17550918,17671616,111.30,111.60,Other,368000,NA,,NA,,3722328,12700583,5292,529232,3135800,228.7,0.6,Compliant,No Issue
104,2018,BAGLEY WRIGHT THEATER - SEATTLE CENTER,Nonresidential COS,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1962,1,0,91213,91213,0,Other,,96.10,93.20,6247680,6060956,210.20,205.50,Other,65000,NA,,NA,,1122689,3830615,0,0,2045680,119,1.3,Compliant,No Issue
106,2018,ARMORY - SEATTLE CENTER,Nonresidential COS,1985200305,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,1,1938,5,0,396085,396085,0,Other,,74.40,75.90,20723526,21143556,122.70,124.10,Other,278500,NA,,NA,,1918146,6544714,0,0,10041840,551.3,1.4,Compliant,No Issue
